,Unnamed: 0,DRS,data,media_isolamento,cidade,cod_ibge
21097,21097,DRS 07 Campinas,"quarta-feira, 19/08",39.86363636363637,VALINHOS,3556206
21057,21057,DRS 07 Campinas,"quarta-feira, 19/08",40%,VALINHOS,3556206
11399,11399,DRS 07 Campinas,"quarta-feira, 20/01",38.27272727272727,VALINHOS,3556206
11359,11359,DRS 07 Campinas,"quarta-feira, 20/01",36%,VALINHOS,3556206
26789,26789,DRS 07 Campinas,"quarta-feira, 20/05",47%,VALINHOS,3556206
26829,26829,DRS 07 Campinas,"quarta-feira, 20/05",45.22727272727273,VALINHOS,3556206
5626,5626,DRS 07 Campinas,"quarta-feira, 21/04",47%,VALINHOS,3556206
5666,5666,DRS 07 Campinas,"quarta-feira, 21/04",45.59090909090909,VALINHOS,3556206
17130,17130,DRS 07 Campinas,"quarta-feira, 21/10",38.13636363636363,VALINHOS,3556206
17090,17090,DRS 07 Campinas,"quarta-feira, 21/10",36%,VALINHOS,3556206
28553,28553,DRS 07 Campinas,"quarta-feira, 22/04",48%,VALINHOS,3556206
28593,28593,DRS 07 Campinas,"quarta-feira, 22/04",47.54545454545455,VALINHOS,3556206
22860,22860,DRS 07 Campinas,"quarta-feira, 22/07",40.95454545454545,VALINHOS,3556206
22820,22820,DRS 07 Campinas,"quarta-feira, 22/07",42%,VALINHOS,3556206
1697,1697,DRS 07 Campinas,"quarta-feira, 23/06",38.04545454545455,VALINHOS,3556206
1657,1657,DRS 07 Campinas,"quarta-feira, 23/06",37%,VALINHOS,3556206
18893,18893,DRS 07 Campinas,"quarta-feira, 23/09",38.5,VALINHOS,3556206
18853,18853,DRS 07 Campinas,"quarta-feira, 23/09",37%,VALINHOS,3556206
13163,13163,DRS 07 Campinas,"quarta-feira, 23/12",38.86363636363637,VALINHOS,3556206
13123,13123,DRS 07 Campinas,"quarta-feira, 23/12",38%,VALINHOS,3556206
9194,9194,DRS 07 Campinas,"quarta-feira, 24/02",42.54545454545455,VALINHOS,3556206
9154,9154,DRS 07 Campinas,"quarta-feira, 24/02",37%,VALINHOS,3556206
7430,7430,DRS 07 Campinas,"quarta-feira, 24/03",40.77272727272727,VALINHOS,3556206
7390,7390,DRS 07 Campinas,"quarta-feira, 24/03",39%,VALINHOS,3556206
24584,24584,DRS 07 Campinas,"quarta-feira, 24/06",47%,VALINHOS,3556206
24624,24624,DRS 07 Campinas,"quarta-feira, 24/06",43.72727272727273,VALINHOS,3556206
30357,30357,DRS 07 Campinas,"quarta-feira, 25/03",52.77272727272727,VALINHOS,3556206
30317,30317,DRS 07 Campinas,"quarta-feira, 25/03",56%,VALINHOS,3556206
14927,14927,DRS 07 Campinas,"quarta-feira, 25/11",37.31818181818182,VALINHOS,3556206
14887,14887,DRS 07 Campinas,"quarta-feira, 25/11",36%,VALINHOS,3556206
31864,31864,DRS 07 Campinas,"quarta-feira, 26/02",36%,VALINHOS,3556206
31904,31904,DRS 07 Campinas,"quarta-feira, 26/02",35.0,VALINHOS,3556206
3421,3421,DRS 07 Campinas,"quarta-feira, 26/05",38%,VALINHOS,3556206
3461,3461,DRS 07 Campinas,"quarta-feira, 26/05",39.31818181818182,VALINHOS,3556206
20616,20616,DRS 07 Campinas,"quarta-feira, 26/08",40%,VALINHOS,3556206
