,Indice s/ Acento,Indice c/ acento,Município com acento,Municipio Sem Acento,Total 1ª Dose,Total 2ª Dose,Total Doses Aplicadas,Doses distribuidas,% Vacinas Aplicadas,Código IBGE
99,107,99,CAMPINA DO MONTE ALEGRE,CAMPINA DO MONTE ALEGRE,1014,519,1533,1431,93.34637964774952,3509452
100,108,100,CAMPINAS,CAMPINAS,194686,120819,315505,355254,112.59853251137066,3509502
101,109,101,CAMPO LIMPO PAULISTA,CAMPO LIMPO PAULISTA,10082,4958,15040,16961,112.77260638297872,3509601
102,110,102,CAMPOS DO JORDÃO,CAMPOS DO JORDAO,7275,4093,11368,11164,98.2054890921886,3509700
103,111,103,CAMPOS NOVOS PAULISTA,CAMPOS NOVOS PAULISTA,837,503,1340,1313,97.9850746268657,3509809
104,112,104,CANANÉIA,CANANEIA,2150,1196,3346,3493,104.39330543933056,3509908
105,113,105,CANAS,CANAS,640,312,952,950,99.78991596638656,3509957
106,116,106,CANITAR,CANITAR,593,337,930,890,95.6989247311828,3510153
107,118,107,CAPELA DO ALTO,CAPELA DO ALTO,2629,1373,4002,3889,97.17641179410296,3510302
108,119,108,CAPIVARI,CAPIVARI,7546,4200,11746,12207,103.92474033713606,3510401
109,117,109,CAPÃO BONITO,CAPAO BONITO,6731,3652,10383,10614,102.22479052297024,3510203
110,120,110,CARAGUATATUBA,CARAGUATATUBA,15004,9259,24263,31569,130.11169270082016,3510500
111,121,111,CARAPICUÍBA,CARAPICUIBA,45116,23436,68552,74505,108.6839187769868,3510609
112,122,112,CARDOSO,CARDOSO,2503,1351,3854,3935,102.10171250648676,3510708
113,123,113,CASA BRANCA,CASA BRANCA,5000,2808,7808,9492,121.56762295081968,3510807
114,125,114,CASTILHO,CASTILHO,3944,1834,5778,5867,101.54032537210108,3511003
115,126,115,CATANDUVA,CATANDUVA,26302,17226,43528,43694,100.38136371990444,3511102
116,127,116,CATIGUÁ,CATIGUA,1273,716,1989,1833,92.15686274509804,3511201
117,96,117,CAÇAPAVA,CACAPAVA,13984,8555,22539,24959,110.73694485114687,3508504
118,128,118,CEDRAL,CEDRAL,2084,1197,3281,3537,107.80249923803714,3511300
119,129,119,CERQUEIRA CÉSAR,CERQUEIRA CESAR,3251,1730,4981,5062,101.62617948203172,3511409
120,130,120,CERQUILHO,CERQUILHO,6837,3609,10446,11053,105.81083668389816,3511508
121,131,121,CESÁRIO LANGE,CESARIO LANGE,2403,1421,3824,3826,100.05230125523012,3511607
122,132,122,CHARQUEADA,CHARQUEADA,2241,1397,3638,3708,101.9241341396372,3511706
123,133,123,CHAVANTES,CHAVANTES,2112,1113,3225,3071,95.22480620155036,3557204
124,134,124,CLEMENTINA,CLEMENTINA,1147,644,1791,1661,92.74148520379676,3511904
125,135,125,COLINA,COLINA,3226,1745,4971,5044,101.46851740092536,3512001
126,136,126,COLÔMBIA,COLOMBIA,1034,640,1674,1720,102.7479091995221,3512100
127,137,127,CONCHAL,CONCHAL,3689,2141,5830,5680,97.42710120068612,3512209
128,138,128,CONCHAS,CONCHAS,3153,1620,4773,4991,104.56735805573014,3512308
129,139,129,CORDEIRÓPOLIS,CORDEIROPOLIS,3270,1683,4953,6069,122.53179890975166,3512407
130,140,130,COROADOS,COROADOS,921,510,1431,1403,98.04332634521312,3512506
131,141,131,CORONEL MACEDO,CORONEL MACEDO,916,552,1468,1323,90.12261580381472,3512605
132,142,132,CORUMBATAÍ,CORUMBATAI,679,470,1149,1096,95.38729329852043,3512704
133,144,133,COSMORAMA,COSMORAMA,1645,1012,2657,2566,96.57508468197214,3512902
134,143,134,COSMÓPOLIS,COSMOPOLIS,7632,3313,10945,12352,112.85518501598904,3512803
135,145,135,COTIA,COTIA,29067,13266,42333,48596,114.79460468192664,3513009
136,146,136,CRAVINHOS,CRAVINHOS,4950,2726,7676,8330,108.52006253256909,3513108
