,Municipio,area,Populacao_Estimada,Densidade_Demográfica,Mortalidade_Infantil,Despesas_empenhadas,PIB,Código IBGE,Indice s/ Acento,Indice c/ acento,Município com acento,Municipio Sem Acento,DRS
350,MONTE ALTO,346.950,50772,134.61,18.40,12.276.062.639,35901.3,3531308,352,344,MONTE ALTO,MONTE ALTO,DRS 13 Ribeirão Preto
351,MONTE APRAZÍVEL,495.559,25373,43.76,4.39,5.984.847.029,26584.41,3531407,353,345,MONTE APRAZÍVEL,MONTE APRAZIVEL,DRS 15 São José do Rio Preto
352,MONTE AZUL PAULISTA,263.462,18968,71.86,8.70,6.687.012.515,28033.28,3531506,354,346,MONTE AZUL PAULISTA,MONTE AZUL PAULISTA,DRS 05 Barretos
353,MONTE CASTELO,233.547,4166,17.47,25.64,1.806.772.349,24706.74,3531605,355,347,MONTE CASTELO,MONTE CASTELO,DRS 11 Presidente Prudente
354,MONTEIRO LOBATO,332.742,4696,12.38,54.55,1.522.656.083,14173.68,3531704,357,349,MONTEIRO LOBATO,MONTEIRO LOBATO,DRS 17 Taubaté
355,MONTE MOR,240.566,60754,203.61,12.96,18.879.801.223,59311.32,3531803,356,348,MONTE MOR,MONTE MOR,DRS 07 Campinas
356,MORRO AGUDO,1.388.127,33288,20.97,08.02,11.838.303.824,36037.1,3531902,358,351,MORRO AGUDO,MORRO AGUDO,DRS 08 Franca
357,MORUNGABA,146.752,13781,80.2,13.16,3.602.519.595,33875.48,3532009,359,352,MORUNGABA,MORUNGABA,DRS 07 Campinas
358,MOTUCA,228.700,4795,18.76,29.41,1.660.073.756,17286.33,3532058,360,353,MOTUCA,MOTUCA,DRS 03 Araraquara
359,MURUTINGA DO SUL,250.873,4506,16.69,22.73,1.725.901.202,14623.62,3532108,361,354,MURUTINGA DO SUL,MURUTINGA DO SUL,DRS 02 Araçatuba
360,NANTES,286.647,3179,9.46,20.41,1.773.556.037,38493.27,3532157,362,355,NANTES,NANTES,DRS 11 Presidente Prudente
361,NARANDIBA,357.325,4904,11.98,12.50,2.584.400.546,38665.32,3532207,363,356,NARANDIBA,NARANDIBA,DRS 11 Presidente Prudente
362,NATIVIDADE DA SERRA,833.372,6642,8.01,12.20,2.380.902.274,10848.03,3532306,364,357,NATIVIDADE DA SERRA,NATIVIDADE DA SERRA,DRS 17 Taubaté
363,NAZARÉ PAULISTA,326.254,18698,50.31,9.30,5.296.456.192,18651.19,3532405,365,358,NAZARÉ PAULISTA,NAZARE PAULISTA,DRS 07 Campinas
364,NEVES PAULISTA,219.050,8923,40.18,32.61,2.578.179.133,23770.6,3532504,366,359,NEVES PAULISTA,NEVES PAULISTA,DRS 15 São José do Rio Preto
365,NHANDEARA,436.159,11527,24.61,9.71,3.142.929.041,28388.63,3532603,367,360,NHANDEARA,NHANDEARA,DRS 15 São José do Rio Preto
366,NIPOÃ,137.609,5298,31.01,13.51,156.470.168,18328.81,3532702,368,361,NIPOÃ,NIPOA,DRS 15 São José do Rio Preto
367,NOVA ALIANÇA,217.515,7068,27.11,22.47,2.226.994.351,25206.05,3532801,369,362,NOVA ALIANÇA,NOVA ALIANCA,DRS 15 São José do Rio Preto
368,NOVA CAMPINA,385.375,9860,22.1,14.39,2.423.346.827,11418.51,3532827,370,363,NOVA CAMPINA,NOVA CAMPINA,DRS 16 Sorocaba
369,NOVA CANAÃ PAULISTA,124.473,1852,16.99,50.00,1.257.109.646,20686.21,3532843,371,364,NOVA CANAÃ PAULISTA,NOVA CANAA PAULISTA,DRS 15 São José do Rio Preto
370,NOVA CASTILHO,183.396,1278,6.14,76.92,1.311.345.443,32366.14,3532868,372,365,NOVA CASTILHO,NOVA CASTILHO,DRS 02 Araçatuba
371,NOVA EUROPA,160.250,11355,58.0,8.33,3.164.312.851,25485.01,3532900,373,366,NOVA EUROPA,NOVA EUROPA,DRS 03 Araraquara
372,NOVA GRANADA,531.796,21689,36.06,11.81,4.610.399.641,20378.67,3533007,374,367,NOVA GRANADA,NOVA GRANADA,DRS 15 São José do Rio Preto
373,NOVA GUATAPORANGA,34.158,2325,63.81,166.67,125.989.717,13532.84,3533106,375,368,NOVA GUATAPORANGA,NOVA GUATAPORANGA,DRS 11 Presidente Prudente
374,NOVA INDEPENDÊNCIA,265.029,4053,11.54,19.23,22.616.214,36380.1,3533205,376,369,NOVA INDEPENDÊNCIA,NOVA INDEPENDENCIA,DRS 02 Araçatuba
375,NOVAIS,117.772,5945,38.99,41.67,1.645.299.792,10196.95,3533254,379,372,NOVAIS,NOVAIS,DRS 15 São José do Rio Preto
376,NOVA LUZITÂNIA,73.816,4160,46.46,32.26,1.476.697.035,12332.03,3533304,377,370,NOVA LUZITÂNIA,NOVA LUZITANIA,DRS 02 Araçatuba
377,NOVA ODESSA,73.788,60956,689.48,10.85,15.954.846.645,59633.81,3533403,378,371,NOVA ODESSA,NOVA ODESSA,DRS 07 Campinas
378,NOVO HORIZONTE,931.743,41414,39.28,9.84,10.858.142.886,26915.6,3533502,380,373,NOVO HORIZONTE,NOVO HORIZONTE,DRS 15 São José do Rio Preto
379,NUPORANGA,348.265,7478,19.57,24.39,3.400.459.141,70520.18,3533601,381,374,NUPORANGA,NUPORANGA,DRS 08 Franca
380,OCAUÇU,301.036,4291,13.86,14.08,1.519.034.513,27040.7,3533700,382,375,OCAUÇU,OCAUCU,DRS 09 Marília
381,ÓLEO,198.938,2471,13.49,37.04,1.253.571.264,32970.07,3533809,383,644,ÓLEO,OLEO,DRS 09 Marília
382,OLÍMPIA,802.555,55130,62.32,14.95,19.287.692.923,37387.02,3533908,384,376,OLÍMPIA,OLIMPIA,DRS 05 Barretos
383,ONDA VERDE,242.946,4422,16.03,16.95,2.121.726.279,38174.26,3534005,385,377,ONDA VERDE,ONDA VERDE,DRS 15 São José do Rio Preto
384,ORIENTE,218.668,6542,27.89,13.33,1.691.737.038,15344.27,3534104,386,378,ORIENTE,ORIENTE,DRS 09 Marília
385,ORINDIÚVA,247.378,7194,22.87,24.69,3.371.930.236,58280.24,3534203,387,379,ORINDIÚVA,ORINDIUVA,DRS 15 São José do Rio Preto
386,ORLÂNDIA,291.765,44360,136.34,4.26,13.741.076.196,42003.28,3534302,388,380,ORLÂNDIA,ORLANDIA,DRS 08 Franca
387,OSASCO,64.954,699944,10264.8,11.79,2.035.375.238,109936.21,3534401,389,381,OSASCO,OSASCO,DRS 01 Grande São Paulo
388,OSCAR BRESSANE,222.130,2603,11.46,43.48,1.412.958.953,34900.31,3534500,390,382,OSCAR BRESSANE,OSCAR BRESSANE,DRS 09 Marília
389,OSVALDO CRUZ,248.038,33000,124.47,12.20,705.011.321,25930.54,3534609,391,383,OSVALDO CRUZ,OSVALDO CRUZ,DRS 09 Marília
390,OURINHOS,295.818,114352,347.78,5.91,25.548.507.149,27232.54,3534708,392,384,OURINHOS,OURINHOS,DRS 09 Marília
391,OUROESTE,288.648,10539,29.1,8.40,6.053.381.886,41425.64,3534757,394,386,OUROESTE,OUROESTE,DRS 15 São José do Rio Preto
392,OURO VERDE,266.778,8620,29.15,10.20,2.278.532.283,13210.54,3534807,393,385,OURO VERDE,OURO VERDE,DRS 11 Presidente Prudente
393,PACAEMBU,339.375,14263,39.07,18.52,3.782.193.239,21542.47,3534906,395,387,PACAEMBU,PACAEMBU,DRS 09 Marília
394,PALESTINA,697.701,13123,15.89,7.14,3.592.185.359,23871.29,3535002,396,388,PALESTINA,PALESTINA,DRS 15 São José do Rio Preto
395,PALMARES PAULISTA,82.125,13486,133.14,14.29,2.482.058.274,9376.19,3535101,397,389,PALMARES PAULISTA,PALMARES PAULISTA,DRS 15 São José do Rio Preto
396,PALMEIRA D'OESTE,318.740,9227,30.02,11.49,2.393.515.202,20086.66,3535200,398,390,PALMEIRA D'OESTE,PALMEIRA D'OESTE,DRS 15 São José do Rio Preto
397,PALMITAL,548.407,22272,38.67,19.16,7.059.461.925,30936.78,3535309,399,391,PALMITAL,PALMITAL,DRS 09 Marília
398,PANORAMA,356.050,15862,40.93,17.86,4.226.469.893,16827.13,3535408,400,392,PANORAMA,PANORAMA,DRS 11 Presidente Prudente
399,PARAGUAÇU PAULISTA,1.001.492,45945,42.22,13.49,13.927.728.116,33792.38,3535507,401,393,PARAGUAÇU PAULISTA,PARAGUACU PAULISTA,DRS 09 Marília
400,PARAIBUNA,809.576,18263,21.48,4.72,5.615.149.568,15336.37,3535606,402,394,PARAIBUNA,PARAIBUNA,DRS 17 Taubaté
401,PARAÍSO,155.186,6496,37.85,12.82,2.523.523.892,34584.67,3535705,403,398,PARAÍSO,PARAISO,DRS 15 São José do Rio Preto
402,PARANAPANEMA,1.018.724,20395,17.48,6.45,8.276.108.345,31198.29,3535804,404,395,PARANAPANEMA,PARANAPANEMA,DRS 06 Bauru
403,PARANAPUÃ,140.354,4095,27.16,14.93,1.507.136.206,27485.59,3535903,405,396,PARANAPUÃ,PARANAPUA,DRS 15 São José do Rio Preto
404,PARAPUÃ,366.664,10949,29.65,10.75,3.004.581.067,32118.91,3536000,406,397,PARAPUÃ,PARAPUA,DRS 09 Marília
405,PARDINHO,209.894,6508,26.59,37.38,2.880.340.729,47454.61,3536109,407,399,PARDINHO,PARDINHO,DRS 06 Bauru
406,PARIQUERA-AÇU,359.414,19723,51.34,6.47,427.937.438,25926.61,3536208,408,400,PARIQUERA-AÇÚ,PARIQUERA-ACU,DRS 12 Registro
407,PARISI,84.737,2169,24.04,51.28,1.466.202.813,31045.8,3536257,409,401,PARISI,PARISI,DRS 15 São José do Rio Preto
408,PATROCÍNIO PAULISTA,602.848,14807,21.56,19.51,4.691.510.802,60792.11,3536307,410,402,PATROCÍNIO PAULISTA,PATROCINIO PAULISTA,DRS 08 Franca
409,PAULICÉIA,374.091,7454,16.97,8.55,2.994.355.696,20705.29,3536406,411,403,PAULICÉIA,PAULICEIA,DRS 11 Presidente Prudente
410,PAULÍNIA,138.777,112003,592.17,6.12,118.481.035.885,306163.17,3536505,412,406,PAULÍNIA,PAULINIA,DRS 07 Campinas
411,PAULISTÂNIA,256.178,1834,6.93,47.62,1.422.611.792,22430.93,3536570,413,404,PAULISTÂNIA,PAULISTANIA,DRS 06 Bauru
412,PAULO DE FARIA,737.986,8959,11.63,24.69,3.391.073.375,30110.56,3536604,414,405,PAULO DE FARIA,PAULO DE FARIA,DRS 15 São José do Rio Preto
413,PEDERNEIRAS,727.482,47111,56.92,9.42,11.779.819.984,47430.98,3536703,415,407,PEDERNEIRAS,PEDERNEIRAS,DRS 06 Bauru
414,PEDRA BELA,158.587,6110,36.45,14.49,188.082.233,13782.13,3536802,416,408,PEDRA BELA,PEDRA BELA,DRS 07 Campinas
415,PEDRANÓPOLIS,260.101,2481,9.83,34.48,1.580.577.599,25672.04,3536901,417,409,PEDRANÓPOLIS,PEDRANOPOLIS,DRS 15 São José do Rio Preto
416,PEDREGULHO,712.604,16811,22.03,4.63,443.100.593,52418.86,3537008,418,410,PEDREGULHO,PEDREGULHO,DRS 08 Franca
417,PEDREIRA,108.817,48463,382.7,6.24,12.470.724.961,26471.59,3537107,419,411,PEDREIRA,PEDREIRA,DRS 07 Campinas
418,PEDRINHAS PAULISTA,152.309,3101,19.28,37.04,1.696.378.292,44364.89,3537156,420,412,PEDRINHAS PAULISTA,PEDRINHAS PAULISTA,DRS 09 Marília
419,PEDRO DE TOLEDO,670.440,11421,15.22,25.42,3.102.067.674,12787.4,3537206,421,413,PEDRO DE TOLEDO,PEDRO DE TOLEDO,DRS 12 Registro
420,PENÁPOLIS,711.315,63757,82.31,13.17,16.209.610.449,26395.81,3537305,422,414,PENÁPOLIS,PENAPOLIS,DRS 02 Araçatuba
421,PEREIRA BARRETO,974.247,25677,25.5,3.83,8.271.309.802,29553.41,3537404,423,415,PEREIRA BARRETO,PEREIRA BARRETO,DRS 02 Araçatuba
422,PEREIRAS,223.136,8773,33.38,19.05,2.347.577.323,23954.99,3537503,424,416,PEREIRAS,PEREIRAS,DRS 06 Bauru
423,PERUÍBE,326.216,69001,184.4,17.26,22.494.907.246,22538.1,3537602,425,417,PERUÍBE,PERUIBE,DRS 04 Baixada Santista
424,PIACATU,232.488,6038,22.75,61.54,1.923.673.174,15498.37,3537701,426,418,PIACATU,PIACATU,DRS 02 Araçatuba
425,PIEDADE,746.868,55542,69.82,13.68,11.029.826.169,21916.31,3537800,427,419,PIEDADE,PIEDADE,DRS 16 Sorocaba
426,PILAR DO SUL,681.248,29402,38.77,18.04,6.526.658.378,23370.06,3537909,428,420,PILAR DO SUL,PILAR DO SUL,DRS 16 Sorocaba
427,PINDAMONHANGABA,731.355,170132,201.39,13.84,3.985.650.337,51761.18,3538006,429,421,PINDAMONHANGABA,PINDAMONHANGABA,DRS 17 Taubaté
428,PINDORAMA,184.825,17216,81.37,6.29,4.131.001.861,22081.72,3538105,430,422,PINDORAMA,PINDORAMA,DRS 15 São José do Rio Preto
429,PINHALZINHO,154.529,15388,84.81,13.33,3.375.481.331,17475.49,3538204,431,423,PINHALZINHO,PINHALZINHO,DRS 07 Campinas
430,PIQUEROBI,482.769,3699,7.33,52.63,1.569.345.974,15089.43,3538303,432,424,PIQUEROBI,PIQUEROBI,DRS 11 Presidente Prudente
431,PIQUETE,175.996,13575,80.16,19.48,2.543.765.315,11973.44,3538501,433,425,PIQUETE,PIQUETE,DRS 17 Taubaté
432,PIRACAIA,385.568,27462,65.15,2.74,7.059.298.437,17540.72,3538600,434,426,PIRACAIA,PIRACAIA,DRS 07 Campinas
433,PIRACICABA,1.378.069,407252,264.47,8.98,152.917.760.687,65896.34,3538709,435,427,PIRACICABA,PIRACICABA,DRS 10 Piracicaba
434,PIRAJU,504.591,29869,56.44,7.81,8.033.940.458,24936.58,3538808,436,428,PIRAJÚ,PIRAJU,DRS 06 Bauru
435,PIRAJUÍ,823.758,25719,27.55,14.65,5.550.857.773,18702.35,3538907,437,429,PIRAJUÍ,PIRAJUI,DRS 06 Bauru
436,PIRANGI,215.809,11471,49.3,15.50,2.958.445.405,29289.51,3539004,438,430,PIRANGI,PIRANGI,DRS 15 São José do Rio Preto
437,PIRAPORA DO BOM JESUS,108.489,19178,144.98,15.09,538.756.971,24587.66,3539103,439,431,PIRAPORA DO BOM JESUS,PIRAPORA DO BOM JESUS,DRS 01 Grande São Paulo
438,PIRAPOZINHO,477.673,27754,51.66,17.86,6.625.808.534,34839.45,3539202,440,432,PIRAPOZINHO,PIRAPOZINHO,DRS 11 Presidente Prudente
439,PIRASSUNUNGA,727.118,76877,96.38,13.68,21.399.723.691,36765.67,3539301,441,433,PIRASSUNUNGA,PIRASSUNUNGA,DRS 10 Piracicaba
440,PIRATININGA,402.409,13765,30.0,11.30,3.660.663.632,17432.02,3539400,442,434,PIRATININGA,PIRATININGA,DRS 06 Bauru
441,PITANGUEIRAS,430.638,40080,81.99,8.42,10.347.789.997,27053.73,3539509,443,435,PITANGUEIRAS,PITANGUEIRAS,DRS 13 Ribeirão Preto
442,PLANALTO,289.825,5304,15.38,33.90,2.254.537.217,30164.36,3539608,444,436,PLANALTO,PLANALTO,DRS 15 São José do Rio Preto
443,PLATINA,327.480,3578,9.77,21.74,1.615.193.922,26801.38,3539707,445,437,PLATINA,PLATINA,DRS 09 Marília
444,POÁ,17.264,118349,6141.05,18.19,3.945.058.237,39992.89,3539806,446,450,POÁ,POA,DRS 01 Grande São Paulo
445,POLONI,135.120,6113,40.4,14.49,194.140.428,21985.92,3539905,447,438,POLONI,POLONI,DRS 15 São José do Rio Preto
446,POMPÉIA,784.674,22172,25.46,19.23,7.394.540.026,56951.86,3540002,448,439,POMPÉIA,POMPEIA,DRS 09 Marília
447,PONGAÍ,183.399,3400,18.99,33.33,1.546.844.883,23673.17,3540101,449,440,PONGAÍ,PONGAI,DRS 06 Bauru
448,PONTAL,356.371,50852,112.94,5.36,9.150.481.147,23772.76,3540200,450,441,PONTAL,PONTAL,DRS 13 Ribeirão Preto
449,PONTALINDA,209.525,4674,19.38,54.55,1.865.277.949,17009.93,3540259,451,442,PONTALINDA,PONTALINDA,DRS 15 São José do Rio Preto
450,PONTES GESTAL,217.505,2577,11.58,29.41,2.241.752.102,60563.97,3540309,452,443,PONTES GESTAL,PONTES GESTAL,DRS 15 São José do Rio Preto
451,POPULINA,315.938,4152,13.37,25.00,2.175.022.199,22982.84,3540408,453,444,POPULINA,POPULINA,DRS 15 São José do Rio Preto
452,PORANGABA,265.689,10067,31.34,20.20,2.403.870.298,18026.55,3540507,454,445,PORANGABA,PORANGABA,DRS 06 Bauru
453,PORTO FELIZ,556.706,53402,87.83,9.47,20.734.370.731,49253.38,3540606,455,446,PORTO FELIZ,PORTO FELIZ,DRS 16 Sorocaba
454,PORTO FERREIRA,244.906,56504,209.88,5.36,15.862.332.425,36767.59,3540705,456,447,PORTO FERREIRA,PORTO FERREIRA,DRS 03 Araraquara
455,POTIM,44.643,25130,436.2,23.81,4.049.958.409,9005.43,3540754,457,448,POTIM,POTIM,DRS 17 Taubaté
456,POTIRENDABA,342.492,17516,45.12,4.61,5.652.412.938,29949.39,3540804,458,449,POTIRENDABA,POTIRENDABA,DRS 15 São José do Rio Preto
457,PRACINHA,63.054,4212,45.48,-,1.083.880.943,8256.98,3540853,459,451,PRACINHA,PRACINHA,DRS 09 Marília
458,PRADÓPOLIS,167.378,21873,103.82,4.41,5.791.505.729,40977.09,3540903,460,452,PRADÓPOLIS,PRADOPOLIS,DRS 13 Ribeirão Preto
459,PRAIA GRANDE,149.253,330845,1781.87,13.83,128.266.266.264,22064.57,3541000,461,453,PRAIA GRANDE,PRAIA GRANDE,DRS 04 Baixada Santista
460,PRATÂNIA,175.100,5317,26.26,14.71,1.842.579.704,25213.86,3541059,462,454,PRATÂNIA,PRATANIA,DRS 06 Bauru
461,PRESIDENTE ALVES,286.642,4080,14.36,16.13,1.399.772.865,17861.26,3541109,463,455,PRESIDENTE ALVES,PRESIDENTE ALVES,DRS 06 Bauru
462,PRESIDENTE BERNARDES,749.233,13023,18.12,30.30,3.935.506.732,20494.34,3541208,464,456,PRESIDENTE BERNARDES,PRESIDENTE BERNARDES,DRS 11 Presidente Prudente
463,PRESIDENTE EPITÁCIO,1.260.281,44389,32.79,11.21,8.747.982.225,19364.06,3541307,465,457,PRESIDENTE EPITÁCIO,PRESIDENTE EPITACIO,DRS 11 Presidente Prudente
464,PRESIDENTE PRUDENTE,560.637,230371,368.89,10.20,64.655.234.024,35207.07,3541406,466,458,PRESIDENTE PRUDENTE,PRESIDENTE PRUDENTE,DRS 11 Presidente Prudente
465,PRESIDENTE VENCESLAU,755.203,39583,50.1,07.08,11.761.184.149,18163.42,3541505,467,459,PRESIDENTE VENCESLAU,PRESIDENTE VENCESLAU,DRS 11 Presidente Prudente
466,PROMISSÃO,779.200,40828,45.78,16.55,9.670.177.294,40628.23,3541604,468,460,PROMISSÃO,PROMISSAO,DRS 06 Bauru
467,QUADRA,205.672,3854,15.73,19.23,1.842.621.274,26393.71,3541653,469,461,QUADRA,QUADRA,DRS 16 Sorocaba
468,QUATÁ,651.341,14210,19.68,6.71,4.418.177.808,32860.67,3541703,470,462,QUATÁ,QUATA,DRS 11 Presidente Prudente
469,QUEIROZ,234.914,3460,12.01,19.61,1.908.298.897,97276.33,3541802,471,463,QUEIROZ,QUEIROZ,DRS 09 Marília
470,QUELUZ,249.399,13606,45.27,09.01,3.367.443.423,25423.85,3541901,472,464,QUELUZ,QUELUZ,DRS 17 Taubaté
471,QUINTANA,318.937,6688,18.79,23.53,2.232.100.397,26261.02,3542008,473,465,QUINTANA,QUINTANA,DRS 09 Marília
472,RAFARD,121.645,9101,70.8,9.26,3.469.974.755,35586.08,3542107,474,466,RAFARD,RAFARD,DRS 10 Piracicaba
473,RANCHARIA,1.587.498,29726,18.14,22.96,8.519.820.751,37222.41,3542206,475,467,RANCHARIA,RANCHARIA,DRS 11 Presidente Prudente
474,REDENÇÃO DA SERRA,309.441,3839,12.52,20.00,1.577.990.827,13767.32,3542305,476,468,REDENÇÃO DA SERRA,REDENCAO DA SERRA,DRS 17 Taubaté
475,REGENTE FEIJÓ,263.280,20394,69.77,04.03,5.764.713.876,35313.43,3542404,477,469,REGENTE FEIJÓ,REGENTE FEIJO,DRS 11 Presidente Prudente
476,REGINÓPOLIS,410.406,9837,17.83,15.38,2.158.924.047,15428.57,3542503,478,470,REGINÓPOLIS,REGINOPOLIS,DRS 06 Bauru
477,REGISTRO,722.201,56393,75.11,6.31,16.356.212.876,34962.27,3542602,479,471,REGISTRO,REGISTRO,DRS 12 Registro
478,RESTINGA,245.746,7679,26.8,17.54,2.447.316.489,22126.48,3542701,480,472,RESTINGA,RESTINGA,DRS 08 Franca
479,RIBEIRA,335.759,3330,10.0,63.83,1.501.425.486,14361.28,3542800,481,473,RIBEIRA,RIBEIRA,DRS 16 Sorocaba
480,RIBEIRÃO BONITO,471.553,13299,25.73,14.18,3.354.051.695,19500.82,3542909,482,474,RIBEIRÃO BONITO,RIBEIRAO BONITO,DRS 03 Araraquara
481,RIBEIRÃO BRANCO,697.500,16211,26.19,33.71,3.896.385.758,17976.03,3543006,483,475,RIBEIRÃO BRANCO,RIBEIRAO BRANCO,DRS 16 Sorocaba
482,RIBEIRÃO CORRENTE,148.332,4752,28.81,30.30,1.957.753.411,23548.05,3543105,484,476,RIBEIRÃO CORRENTE,RIBEIRAO CORRENTE,DRS 08 Franca
483,RIBEIRÃO DO SUL,203.208,4539,21.83,22.22,1.892.958.248,33392.7,3543204,485,477,RIBEIRÃO DO SUL,RIBEIRAO DO SUL,DRS 09 Marília
484,RIBEIRÃO DOS ÍNDIOS,196.446,2224,11.14,45.45,1.254.409.571,16030.11,3543238,486,478,RIBEIRÃO DOS ÍNDIOS,RIBEIRAO DOS INDIOS,DRS 11 Presidente Prudente
485,RIBEIRÃO GRANDE,333.363,7679,22.26,11.49,2.467.096.158,34793.11,3543253,487,479,RIBEIRÃO GRANDE,RIBEIRAO GRANDE,DRS 16 Sorocaba
486,RIBEIRÃO PIRES,99.075,124159,1140.73,9.15,27.371.116.042,24818.57,3543303,488,480,RIBEIRÃO PIRES,RIBEIRAO PIRES,DRS 01 Grande São Paulo
487,RIBEIRÃO PRETO,650.916,711825,928.92,9.19,249.764.250.729,49425.29,3543402,489,481,RIBEIRÃO PRETO,RIBEIRAO PRETO,DRS 13 Ribeirão Preto
488,RIVERSUL,385.878,5443,15.96,15.87,1.803.281.346,12349.69,3543501,497,489,RIVERSUL,RIVERSUL,DRS 16 Sorocaba
489,RIFAINA,162.508,3640,21.14,23.26,2.780.257.514,33254.17,3543600,490,482,RIFAINA,RIFAINA,DRS 08 Franca
490,RINCÃO,316.639,10812,32.96,7.75,2.917.087.756,18176.48,3543709,491,483,RINCÃO,RINCAO,DRS 03 Araraquara
491,RINÓPOLIS,358.481,9961,27.73,28.57,2.576.917.976,25464.98,3543808,492,484,RINÓPOLIS,RINOPOLIS,DRS 09 Marília
492,RIO CLARO,498.422,208008,373.69,11.81,73.241.203.469,47851.56,3543907,493,485,RIO CLARO,RIO CLARO,DRS 10 Piracicaba
493,RIO DAS PEDRAS,226.657,35738,130.16,5.15,9.462.713.742,40086.87,3544004,494,486,RIO DAS PEDRAS,RIO DAS PEDRAS,DRS 10 Piracicaba
494,RIO GRANDE DA SERRA,36.341,51436,1210.04,8.00,7.289.705.085,11282.4,3544103,495,487,RIO GRANDE DA SERRA,RIO GRANDE DA SERRA,DRS 01 Grande São Paulo
495,RIOLÂNDIA,631.897,12689,16.7,09.09,3.488.575.768,20423.64,3544202,496,488,RIOLÂNDIA,RIOLANDIA,DRS 15 São José do Rio Preto
496,ROSANA,744.011,16281,26.51,13.04,8.095.572.407,70267.57,3544251,498,490,ROSANA,ROSANA,DRS 11 Presidente Prudente
497,ROSEIRA,129.847,10801,73.47,37.59,3.001.964.446,27647.35,3544301,499,491,ROSEIRA,ROSEIRA,DRS 17 Taubaté
498,RUBIÁCEA,236.484,3162,11.52,28.57,1.322.927.953,20298.51,3544400,500,493,RUBIÁCEA,RUBIACEA,DRS 02 Araçatuba
499,RUBINÉIA,242.877,3170,11.78,43.48,2.009.432.874,24965.32,3544509,501,492,RUBINÉIA,RUBINEIA,DRS 15 São José do Rio Preto
500,SABINO,305.285,5614,16.78,17.86,2.100.327.135,21248.16,3544608,502,494,SABINO,SABINO,DRS 06 Bauru
501,SAGRES,147.935,2430,16.2,38.46,115.076.192,15451.37,3544707,503,495,SAGRES,SAGRES,DRS 09 Marília
502,SALES,308.555,6407,17.67,17.24,2.715.044.214,22858.39,3544806,504,496,SALES,SALES,DRS 15 São José do Rio Preto
503,SALES OLIVEIRA,305.776,11998,34.58,7.52,3.653.791.764,29378.39,3544905,505,497,SALES OLIVEIRA,SALES OLIVEIRA,DRS 08 Franca
504,SALESÓPOLIS,424.997,17252,36.79,5.32,3.824.498.838,11899.42,3545001,506,498,SALESÓPOLIS,SALESOPOLIS,DRS 01 Grande São Paulo
505,SALMOURÃO,172.934,5337,27.96,27.03,145.034.334,13614.17,3545100,507,499,SALMOURÃO,SALMOURAO,DRS 09 Marília
506,SALTINHO,99.738,8393,70.78,21.51,2.464.291.731,30002.45,3545159,508,500,SALTINHO,SALTINHO,DRS 10 Piracicaba
507,SALTO,133.057,119736,792.13,7.73,3.222.559.574,62187.92,3545209,509,501,SALTO,SALTO,DRS 16 Sorocaba
508,SALTO DE PIRAPORA,280.509,45860,143.02,12.94,119.093.116,37530.47,3545308,510,502,SALTO DE PIRAPORA,SALTO DE PIRAPORA,DRS 16 Sorocaba
509,SALTO GRANDE,188.441,9364,46.64,9.17,2.633.254.072,23885.16,3545407,511,503,SALTO GRANDE,SALTO GRANDE,DRS 09 Marília
510,SANDOVALINA,455.856,4354,8.13,18.87,2.594.594.712,90156.11,3545506,512,504,SANDOVALINA,SANDOVALINA,DRS 11 Presidente Prudente
511,SANTA ADÉLIA,330.269,15561,43.32,10.93,4.128.203.322,19941.08,3545605,513,505,SANTA ADÉLIA,SANTA ADELIA,DRS 15 São José do Rio Preto
512,SANTA ALBERTINA,272.692,6022,20.98,46.15,2.566.663.718,30542.24,3545704,514,506,SANTA ALBERTINA,SANTA ALBERTINA,DRS 15 São José do Rio Preto
513,SANTA BÁRBARA D'OESTE,271.030,194390,664.49,9.95,50.826.275.516,30798.27,3545803,515,508,SANTA BÁRBARA D'OESTE,SANTA BARBARA D'OESTE,DRS 07 Campinas
514,SANTA BRANCA,272.238,14857,50.56,48.78,4.300.441.533,16610.52,3546009,516,507,SANTA BRANCA,SANTA BRANCA,DRS 17 Taubaté
515,SANTA CLARA D'OESTE,183.458,2113,11.36,48.78,1.531.284.899,32177.82,3546108,517,509,SANTA CLARA D'OESTE,SANTA CLARA D'OESTE,DRS 15 São José do Rio Preto
516,SANTA CRUZ DA CONCEIÇÃO,150.130,4544,26.66,30.30,2.175.271.564,27720.76,3546207,518,510,SANTA CRUZ DA CONCEIÇÃO,SANTA CRUZ DA CONCEICAO,DRS 10 Piracicaba
517,SANTA CRUZ DA ESPERANÇA,148.062,2153,13.19,66.67,1.468.003.002,24309.59,3546256,519,511,SANTA CRUZ DA ESPERANÇA,SANTA CRUZ DA ESPERANCA,DRS 13 Ribeirão Preto
518,SANTA CRUZ DAS PALMEIRAS,295.337,34737,101.35,12.69,7.508.550.382,14724.73,3546306,520,512,SANTA CRUZ DAS PALMEIRAS,SANTA CRUZ DAS PALMEIRAS,DRS 14 São João da Boa Vista
519,SANTA CRUZ DO RIO PARDO,1.114.747,47943,39.44,09.04,14.003.527.044,42906.75,3546405,521,513,SANTA CRUZ DO RIO PARDO,SANTA CRUZ DO RIO PARDO,DRS 09 Marília
