,Municipio,area,Populacao_Estimada,Densidade_Demográfica,Escolarizacao_6_14_anos,IDHM,Mortalidade_Infantil,Receitas_Realizadas,Despesas_empenhadas,PIB
518,SANTA CRUZ DAS PALMEIRAS,295.337,34737,101.35,97.3,728,12.69,7.931.366.173,7.508.550.382,14724.73
519,SANTA CRUZ DO RIO PARDO,1.114.747,47943,39.44,96.3,762,09.04,14.198.941.307,14.003.527.044,42906.75
520,SANTA ERNESTINA,134.421,5588,41.42,99.2,738,16.95,2.002.997.331,1.714.222.391,16537.75
521,SANTA FÉ DO SUL,206.537,32563,141.81,97.9,784,6.90,15.634.819.314,14.327.066.428,33819.05
522,SANTA GERTRUDES,98.291,27381,220.1,98.3,737,3.16,10.594.838.071,9.570.211.402,67000.11
523,SANTA ISABEL,363.332,57966,138.87,97.8,738,9.75,15.136.275.039,13.902.052.821,27752.63
524,SANTA LÚCIA,153.860,8854,53.55,98.6,737,20.20,2.182.635.578,1.796.846.151,13080.61
525,SANTA MARIA DA SERRA,252.621,6236,21.43,97.5,686,12.35,2.280.466.772,1.858.887.639,21876.38
526,SANTA MERCEDES,166.753,2943,16.96,98.8,739,27.03,151.618.698,1.355.866.328,22641.73
527,SANTANA DA PONTE PENSA,129.888,1467,12.6,100.0,773,111.11,1.396.835.312,1.113.800.382,23521.23
528,SANTANA DE PARNAÍBA,179.949,142301,604.74,97.3,814,8.32,92.358.145.122,6.943.226.095,67650.64
529,SANTA RITA D'OESTE,209.800,2487,12.1,100.0,761,52.63,1.938.620.853,1.555.707.891,25305.72
530,SANTA RITA DO PASSA QUATRO,754.141,27600,35.11,97.8,775,20.16,8.090.227.423,7.946.384.533,24132.89
531,SANTA ROSA DE VITERBO,288.576,26753,82.69,97.9,770,8.20,6.860.156.295,6.103.555.143,26438.67
532,SANTA SALETE,79.192,1552,18.23,100.0,772,-,1.476.464.508,1.288.079.665,23375.01
533,SANTO ANASTÁCIO,552.876,20866,37.06,98.5,753,22.83,7.860.016.808,4.406.392.075,19766.77
534,SANTO ANDRÉ,175.782,721368,3848.01,97.4,815,7.59,249.358.887.628,230.185.231.093,40489.21
535,SANTO ANTÔNIO DA ALEGRIA,310.311,6977,20.32,97.5,702,25.64,2.507.804.394,2.201.369.989,18953.27
536,SANTO ANTÔNIO DE POSSE,154.133,23529,134.09,97.3,702,15.27,9.944.130.049,7.699.472.169,48880.01
537,SANTO ANTÔNIO DO ARACANGUÁ,1.308.432,8481,5.83,98.9,757,29.13,4.658.621.956,4.116.792.738,24823.67
538,SANTO ANTÔNIO DO JARDIM,109.956,5940,54.05,97.0,714,39.22,2.080.541.817,1.622.615.253,25307.38
539,SANTO ANTÔNIO DO PINHAL,133.008,6827,48.76,98.3,706,21.51,2.608.665.888,2.484.380.549,16258.73
540,SANTO EXPEDITO,94.465,3135,29.68,99.1,732,30.30,1.375.890.394,116.784.444,12372.99
541,SANTÓPOLIS DO AGUAPEÍ,128.026,4817,33.44,98.6,740,16.95,1.761.005.984,1.449.899.071,14856.83
542,SANTOS,281.033,433656,1494.26,98.2,840,09.02,263.995.907.834,2.489.780.313,51915.03
543,SÃO BENTO DO SAPUCAÍ,252.579,10893,41.37,98.5,720,8.20,3.385.689.703,2.964.338.366,18725.82
544,SÃO BERNARDO DO CAMPO,409.532,844483,1869.36,97.6,805,9.29,396.269.435.675,357.482.853.686,60689.23
545,SÃO CAETANO DO SUL,15.331,161957,9736.03,97.4,862,6.54,133.280.760.882,115.817.091.112,83860.42
546,SÃO CARLOS,1.136.907,254484,195.15,97.9,805,7.74,78.815.606.987,71.903.629.493,44796.83
547,SÃO FRANCISCO,75.579,2817,36.94,100.0,723,51.28,1.608.389.271,1.437.734.253,16925.04
548,SÃO JOÃO DA BOA VISTA,516.399,91771,161.96,97.2,797,15.97,34.328.908.186,31.394.732.844,34522.54
549,SÃO JOÃO DAS DUAS PONTES,129.462,2561,19.84,99.4,720,33.33,1.649.692.245,136.876.726,17241.57
550,SÃO JOÃO DE IRACEMA,178.396,1932,9.97,98.1,748,153.85,1.754.935.515,1.481.882.878,17697.63
551,SÃO JOÃO DO PAU D'ALHO,117.665,2100,17.86,99.2,750,43.48,1.478.483.723,1.226.472.769,21896.43
552,SÃO JOAQUIM DA BARRA,410.863,52319,113.28,96.7,762,8.53,12.785.056.901,11.725.073.056,33011.12
553,SÃO JOSÉ DA BELA VISTA,276.952,8960,30.35,97.9,693,21.28,2.930.064.157,2.692.364.328,18219.25
554,SÃO JOSÉ DO BARREIRO,570.685,4144,7.14,95.5,684,24.39,2.079.915.331,1.763.631.202,12761.63
555,SÃO JOSÉ DO RIO PARDO,419.684,55124,123.81,97.6,774,5.67,17.927.576.725,16.263.164.764,33227.23
556,SÃO JOSÉ DO RIO PRETO,431.944,464983,945.12,98.0,797,8.42,163.500.040.112,148.508.901.712,38449.7
557,SÃO JOSÉ DOS CAMPOS,1.099.409,729737,572.96,97.4,807,9.34,285.578.677.665,243.945.695.088,55603.18
558,SÃO LOURENÇO DA SERRA,186.456,15978,74.99,97.2,728,4.95,40.826.834,3.717.015.235,13319.9
