,Município,Código IBGE,Populacao,Total 1ª Dose,Total 2ª Dose,Total Unica,Total Doses Aplicadas,distribuidas,Vacinas Aplicadas/Distribuidas,População Vacinada dose1/População Total,População Vacinada/População Total
84,BOREBI,3507456,2683,254,74,0,328,428,76.63551401869158,9.467014535967202,2.7581065970928065
85,BOTUCATU,3507506,148130,23159,7953,0,31112,33999,91.50857378158182,15.634240194423818,5.368932694255046
86,BRAGANÇA PAULISTA,3507605,170533,19759,6897,0,26656,30938,86.15941560540435,11.586613734585095,4.044378507385668
87,BRAÚNA,3507704,5741,749,334,0,1083,1258,86.08903020667726,13.046507577077165,5.817801776693956
88,BREJO ALEGRE,3507753,2889,375,163,0,538,606,88.77887788778878,12.980269989615783,5.6420906888196605
89,BRODOWSKI,3507803,25277,2573,1064,0,3637,4326,84.07304669440592,10.179214305495114,4.209360288008862
90,BROTAS,3507902,24636,2449,812,0,3261,3916,83.27374872318693,9.940737132651405,3.295989608702712
91,BURI,3508009,19965,1447,288,0,1735,2572,67.45723172628306,7.247683446030553,1.4425244177310292
92,BURITAMA,3508108,17281,1977,663,0,2640,3017,87.50414318859795,11.440310167235692,3.8365835310456573
93,BURITIZAL,3508207,4514,593,228,0,821,938,87.52665245202559,13.13690739920248,5.050952591936198
94,CABRÁLIA PAULISTA,3508306,4243,508,160,0,668,768,86.97916666666666,11.972660853169927,3.7709168041480083
95,CABREÚVA,3508405,50429,2708,847,0,3555,5095,69.77428851815506,5.369926034622935,1.6795891253048842
96,CAÇAPAVA,3508504,95018,10282,3192,0,13474,14662,91.8974219069704,10.821107579616495,3.3593634890231323
97,CACHOEIRA PAULISTA,3508603,33581,3666,990,0,4656,6244,74.56758488148623,10.916887525684167,2.9480956493255115
98,CACONDE,3508702,19009,2249,477,0,2726,3636,74.97249724972497,11.831237834709874,2.5093376821505604
99,CAFELÂNDIA,3508801,17843,1980,440,0,2420,3666,66.01200218221494,11.09678865661604,2.4659530348035643
100,CAIABU,3508900,4193,482,151,0,633,834,75.89928057553958,11.495349391843549,3.601240162175054
101,CAIEIRAS,3509007,102775,7909,2444,0,10353,11958,86.57802308078274,7.695451228411579,2.3780102164923376
102,CAIUÁ,3509106,5946,755,210,0,965,1150,83.91304347826087,12.697611839892364,3.5317860746720484
103,CAJAMAR,3509205,77934,5149,1527,0,6676,7477,89.28714725157148,6.60687248184361,1.9593502194164294
104,CAJATI,3509254,28494,2369,706,0,3075,3861,79.64257964257965,8.314031024075245,2.477714606583842
105,CAJOBI,3509304,10596,1258,562,0,1820,1821,99.945085118067,11.872404681011703,5.303888259720649
106,CAJURU,3509403,26393,2439,810,0,3249,4918,66.06344042293615,9.241086651763725,3.0689955670064033
107,CAMPINA DO MONTE ALEGRE,3509452,6057,690,148,0,838,918,91.28540305010894,11.391778107974245,2.4434538550437512
108,CAMPINAS,3509502,1213792,139935,51360,0,191295,240030,79.6962879640045,11.528746276132978,4.231367483061348
109,CAMPO LIMPO PAULISTA,3509601,85541,5536,1728,0,7264,10388,69.9268386599923,6.471750388702493,2.020083936358004
110,CAMPOS DO JORDÃO,3509700,52405,4724,1510,0,6234,7108,87.70399549803038,9.014407022230703,2.8814044461406354
111,CAMPOS NOVOS PAULISTA,3509809,4997,561,180,0,741,856,86.56542056074767,11.226736041624976,3.6021612967780667
112,CANANÉIA,3509908,12541,1424,456,0,1880,2398,78.39866555462885,11.354756399011242,3.636073678335061
113,CANAS,3509957,5204,358,123,0,481,592,81.25,6.879323597232897,2.3635664873174482
114,CÂNDIDO MOTA,3510005,31346,3599,1180,0,4779,5460,87.52747252747253,11.481528743699355,3.76443565367192
115,CÂNDIDO RODRIGUES,3510104,2799,500,123,0,623,690,90.28985507246377,17.863522686673814,4.394426580921758
