,Município1,Código Município IBGE,População estimada (2020),UF1,Data,Média de Índice De Isolamento
25552,INDAIATUBA,3520509,256223,SP,"segunda-feira, 27/07",44%
25216,INDAIATUBA,3520509,256223,SP,"segunda-feira, 28/06",39%
25489,INDAIATUBA,3520509,256223,SP,"segunda-feira, 28/09",41%
25398,INDAIATUBA,3520509,256223,SP,"segunda-feira, 28/12",42%
25307,INDAIATUBA,3520509,256223,SP,"segunda-feira, 29/03",40%
25580,INDAIATUBA,3520509,256223,SP,"segunda-feira, 29/06",46%
25671,INDAIATUBA,3520509,256223,SP,"segunda-feira, 30/03",58%
25426,INDAIATUBA,3520509,256223,SP,"segunda-feira, 30/11",38%
25244,INDAIATUBA,3520509,256223,SP,"segunda-feira, 31/05",39%
25517,INDAIATUBA,3520509,256223,SP,"segunda-feira, 31/08",41%
25394,INDAIATUBA,3520509,256223,SP,"sexta-feira, 01/01",47%
25639,INDAIATUBA,3520509,256223,SP,"sexta-feira, 01/05",57%
25303,INDAIATUBA,3520509,256223,SP,"sexta-feira, 02/04",45%
25212,INDAIATUBA,3520509,256223,SP,"sexta-feira, 02/07",37%
25485,INDAIATUBA,3520509,256223,SP,"sexta-feira, 02/10",38%
25667,INDAIATUBA,3520509,256223,SP,"sexta-feira, 03/04",55%
25576,INDAIATUBA,3520509,256223,SP,"sexta-feira, 03/07",44%
25240,INDAIATUBA,3520509,256223,SP,"sexta-feira, 04/06",39%
25513,INDAIATUBA,3520509,256223,SP,"sexta-feira, 04/09",39%
25422,INDAIATUBA,3520509,256223,SP,"sexta-feira, 04/12",38%
25359,INDAIATUBA,3520509,256223,SP,"sexta-feira, 05/02",38%
25331,INDAIATUBA,3520509,256223,SP,"sexta-feira, 05/03",36%
25604,INDAIATUBA,3520509,256223,SP,"sexta-feira, 05/06",46%
25692,INDAIATUBA,3520509,256223,SP,"sexta-feira, 06/03",34%
25450,INDAIATUBA,3520509,256223,SP,"sexta-feira, 06/11",38%
25268,INDAIATUBA,3520509,256223,SP,"sexta-feira, 07/05",38%
25541,INDAIATUBA,3520509,256223,SP,"sexta-feira, 07/08",41%
25387,INDAIATUBA,3520509,256223,SP,"sexta-feira, 08/01",39%
25632,INDAIATUBA,3520509,256223,SP,"sexta-feira, 08/05",47%
25296,INDAIATUBA,3520509,256223,SP,"sexta-feira, 09/04",40%
25205,INDAIATUBA,3520509,256223,SP,"sexta-feira, 09/07",41%
25478,INDAIATUBA,3520509,256223,SP,"sexta-feira, 09/10",39%
25660,INDAIATUBA,3520509,256223,SP,"sexta-feira, 10/04",61%
25569,INDAIATUBA,3520509,256223,SP,"sexta-feira, 10/07",46%
25233,INDAIATUBA,3520509,256223,SP,"sexta-feira, 11/06",38%
25506,INDAIATUBA,3520509,256223,SP,"sexta-feira, 11/09",38%
25415,INDAIATUBA,3520509,256223,SP,"sexta-feira, 11/12",39%
25352,INDAIATUBA,3520509,256223,SP,"sexta-feira, 12/02",37%
25324,INDAIATUBA,3520509,256223,SP,"sexta-feira, 12/03",40%
25597,INDAIATUBA,3520509,256223,SP,"sexta-feira, 12/06",46%
25685,INDAIATUBA,3520509,256223,SP,"sexta-feira, 13/03",36%
25443,INDAIATUBA,3520509,256223,SP,"sexta-feira, 13/11",38%
